"city","state","county","id"
san bernardino,ca,san bernardino,778210
gainesville,fl,alachua,778211
spring valley,nv,clark,778212
tacoma,wa,pierce,778213
roanoke,va,roanoke,778214
brownsville,tx,cameron,778215
college station,tx,brazos,778216
olympia,wa,thurston,778217
clarksville,tn,montgomery,778218
yonkers,ny,westchester,778219
moreno valley,ca,riverside,778220
thousand oaks,ca,ventura,778221
portland,me,cumberland,778222
fontana,ca,san bernardino,778223
hickory,nc,catawba,778224
amarillo,tx,potter,778225
sioux falls,sd,minnehaha,778226
evansville,in,vanderburgh,778227
huntington,wv,cabell,778228
waterbury,ct,naugatuck valley,778229
frisco,tx,collin,778230
lorain,oh,lorain,778231
kalamazoo,mi,kalamazoo,778232
galveston,tx,galveston,778233
spartanburg,sc,spartanburg,778234
santa barbara,ca,santa barbara,778235
sunrise manor,nv,clark,778236
huntington beach,ca,orange,778237
grand prairie,tx,dallas,778238
overland park,ks,johnson,778239
mckinney,tx,collin,778240
waco,tx,mclennan,778241
hagerstown,md,washington,778242
glendale,ca,los angeles,778243
nampa,id,canyon,778244
peoria,az,maricopa,778245
cedar rapids,ia,linn,778246
vancouver,wa,clark,778247
paradise,nv,clark,778248
ocala,fl,marion,778249
erie,pa,erie,778250
newport news,va,newport news,778251
frederick,md,frederick,778252
murfreesboro,tn,rutherford,778253
fort lauderdale,fl,broward,778254
aurora,il,kane,778255
tempe,az,maricopa,778256
danbury,ct,western connecticut,778257
spring hill,fl,hernando,778258
gastonia,nc,gaston,778259
salinas,ca,monterey,778260
fredericksburg,va,fredericksburg,778261
ontario,ca,san bernardino,778262
elk grove,ca,sacramento,778263
gainesville,ga,hall,778264
cary,nc,wake,778265
rancho cucamonga,ca,san bernardino,778266
oceanside,ca,san diego,778267
garden grove,ca,orange,778268
lancaster,ca,los angeles,778269
hemet,ca,riverside,778270
pembroke pines,fl,broward,778271
panama city,fl,bay,778272
vallejo,ca,solano,778273
manchester,nh,hillsborough,778274
medford,or,jackson,778275
bayamón,pr,bayamón,778276
mauldin,sc,greenville,778277
santa cruz,ca,santa cruz,778278
palmdale,ca,los angeles,778279
norwich,ct,southeastern connecticut,778280
muskegon,mi,muskegon,778281
leesburg,fl,lake,778282
high point,nc,guilford,778283
tuscaloosa,al,tuscaloosa,778284
visalia,ca,tulare,778285
marysville,wa,snohomish,778286
merced,ca,merced,778287
hayward,ca,alameda,778288
lafayette,in,tippecanoe,778289
springfield,il,sangamon,778290
corona,ca,riverside,778291
paterson,nj,passaic,778292
alexandria,va,alexandria,778293
macon,ga,bibb,778294
binghamton,ny,broome,778295
