"article_id","city_id"
21310,778307
21311,778307
21312,778307
21313,778307
21338,778314
21339,778314
21340,778314
21341,778314
21382,778325
21383,778325
21384,778325
21385,778325
21386,778326
21387,778326
21388,778326
21389,778326
21390,778328
21391,778328
21392,778328
21393,778328
21394,778327
21395,778327
21396,778327
21397,778327
21398,778330
21399,778330
21400,778330
21401,778330
21402,778329
21403,778329
21404,778329
21405,778329
21406,778332
21407,778332
21408,778332
21409,778332
21694,778402
21695,778402
21696,778402
21697,778402
21698,778404
21699,778404
21700,778404
21701,778404
21702,778405
21703,778405
21704,778405
21705,778405
21730,778412
21731,778412
21732,778412
21733,778412
21750,778417
21751,778417
21752,778417
21753,778417
21754,778416
21755,778416
21756,778416
21757,778416
21758,778419
21759,778419
21760,778419
21761,778419
21762,778420
21763,778420
21764,778420
21765,778420
21790,778425
21791,778425
21792,778425
21793,778425
21794,778429
21795,778429
21796,778429
21797,778429
21798,778428
21799,778428
21800,778428
21801,778428
21842,778442
21843,778442
21844,778442
21845,778442
21934,778462
21935,778462
21936,778462
21937,778462
21938,778465
21939,778465
21940,778465
21942,778464
21943,778464
21944,778464
21945,778464
21946,778467
21947,778467
21948,778467
21949,778467
21974,778472
21975,778472
21976,778472
21977,778472
21978,778474
21979,778474
21980,778474
21981,778474
21982,778475
21983,778475
21984,778475
21985,778475
21986,778476
21987,778476
21988,778476
21989,778476
21990,778478
21991,778478
21992,778478
21993,778478
22003,778480
22004,778480
22005,778480
22006,778481
22007,778481
22008,778481
22010,778483
22011,778483
22012,778483
22013,778483
22014,778482
22015,778482
22016,778482
22017,778482
22018,778484
22019,778484
22020,778484
22021,778484
22022,778485
22023,778485
22024,778485
22025,778485
22026,778486
22027,778486
22028,778486
22029,778486
22074,778498
22075,778498
22076,778498
22077,778498
22078,778499
22079,778499
22080,778499
22081,778499
22082,778500
22083,778500
22084,778500
22085,778500
22086,778503
22087,778503
22088,778503
22089,778503
22290,778552
22291,778552
22292,778552
22293,778552
22294,778553
22295,778553
22296,778553
22297,778553
22298,778554
22299,778554
22300,778554
22301,778554
22302,778556
22303,778556
22304,778556
22305,778556
22314,778559
22315,778559
22317,778559
22320,778555
22321,778555
22322,778560
22323,778560
22324,778560
22325,778560
22326,778562
22327,778562
22328,778562
22329,778562
22330,778563
22331,778563
22332,778563
22333,778563
22350,778568
22351,778568
22352,778568
22353,778568
22354,778569
22355,778569
22356,778569
22357,778569
22358,778567
22360,778567
22361,778567
22362,778572
22363,778572
22364,778572
22365,778572
22374,778571
22377,778571
22378,778574
22379,778574
22380,778574
22381,778574
22382,778575
22383,778575
22384,778575
22385,778575
22386,778576
22387,778576
22388,778576
22389,778576
22390,778577
22391,778577
22392,778577
21314,778308
21315,778308
21316,778308
21317,778308
21318,778310
21319,778310
21320,778310
21321,778310
21322,778309
21323,778309
21324,778309
21325,778309
21326,778311
21327,778311
21328,778311
21329,778311
21330,778313
21331,778313
21332,778313
21333,778313
21334,778312
21335,778312
21336,778312
21337,778312
21414,778331
21415,778331
21416,778331
21417,778331
21418,778334
21419,778334
21420,778334
21421,778334
21430,778337
21431,778337
21432,778337
21433,778337
21434,778338
21435,778338
21436,778338
21437,778338
21438,778340
21439,778340
21440,778340
21441,778340
21470,778347
21471,778347
21472,778347
21473,778347
21474,778348
21475,778348
21476,778348
21477,778348
21478,778350
21479,778350
21480,778350
21481,778350
21482,778349
21483,778349
21484,778349
21485,778349
21486,778353
21487,778353
21488,778353
21489,778353
21490,778351
21491,778351
21492,778351
21493,778351
21502,778354
21503,778354
21504,778354
21505,778354
21506,778355
21507,778355
21508,778355
21509,778355
21510,778357
21511,778357
21512,778357
21513,778357
21514,778358
21515,778358
21516,778358
21517,778358
21518,778362
21519,778362
21520,778362
21521,778362
21530,778360
21531,778360
21532,778360
21533,778360
21534,778363
21535,778363
21536,778363
21537,778363
21538,778367
21539,778367
21540,778367
21541,778367
21566,778370
21567,778370
21568,778370
21569,778370
21570,778371
21571,778371
21572,778371
21573,778371
21574,778373
21575,778373
21576,778373
21577,778373
21578,778374
21579,778374
21580,778374
21581,778374
21582,778377
21583,778377
21584,778377
21585,778377
21586,778376
21587,778376
21588,778376
21589,778376
21590,778375
21591,778375
21592,778375
21593,778375
21594,778379
21595,778379
21596,778379
21597,778379
21598,778378
21599,778378
21600,778378
21601,778378
21602,778380
21603,778380
21604,778380
21605,778380
21606,778381
21607,778381
21608,778381
21609,778381
21610,778382
21611,778382
21612,778382
21613,778382
21614,778384
21615,778384
21616,778384
21617,778384
21618,778383
21619,778383
21620,778383
21621,778383
21623,778385
21624,778385
21625,778385
21626,778386
21627,778386
21628,778386
21629,778386
21630,778387
21631,778387
21632,778387
21633,778387
21634,778389
21635,778389
21636,778389
21637,778389
21638,778388
21639,778388
21640,778388
21641,778388
21642,778390
21643,778390
21644,778390
21645,778390
21646,778391
21647,778391
21648,778391
21649,778391
21658,778394
21659,778394
21660,778394
21661,778394
21662,778395
21663,778395
21664,778395
21665,778395
21666,778396
21667,778396
21668,778396
21669,778396
21670,778399
21671,778399
21672,778399
21673,778399
21690,778403
21691,778403
21692,778403
21693,778403
21706,778407
21707,778407
21708,778407
21709,778407
21711,778408
21712,778408
21713,778408
21714,778406
21715,778406
21716,778406
21717,778406
21718,778409
21719,778409
21720,778409
21721,778409
21722,778411
21723,778411
21725,778411
21726,778413
21727,778413
21728,778413
21729,778413
21846,778439
21342,778315
21343,778315
21344,778315
21345,778315
21346,778316
21347,778316
21348,778316
21349,778316
21350,778317
21351,778317
21352,778317
21353,778317
21354,778319
21355,778319
21356,778319
21357,778319
21358,778318
21359,778318
21360,778318
21361,778318
21362,778320
21363,778320
21364,778320
21365,778320
21367,778321
21368,778321
21369,778321
21370,778323
21371,778323
21372,778323
21373,778323
21374,778322
21375,778322
21376,778322
21377,778322
21378,778324
21379,778324
21380,778324
21381,778324
21410,778333
21411,778333
21412,778333
21413,778333
21422,778335
21423,778335
21424,778335
21425,778335
21426,778336
21427,778336
21428,778336
21429,778336
21442,778339
21443,778339
21444,778339
21445,778339
